File	Rev	ID	Old	New	Churn	Date
item.lxtxt	127	crw_customize_arms_long_blunt_00;explanation	先端に包丁の刃をつけたバール	先端に包丁をつけたバール	14	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_short_blade_grip_00;name	皮の切れ端	革の柄	5	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_short_blade_grip_00;explanation	"乾いた皮の切れ端

短い刃物のパーツになる"	"革製の柄

短い刃物のパーツになる"	21	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_short_blade_grip_01;name	ボロ切れ	布の巻柄	4	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_short_blade_grip_01;explanation	"薄汚れたボロ切れ

短い刃物のパーツになる"	"ボロ切れを巻いた柄

短い刃物のパーツになる"	22	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_long_blunt_grip_00;explanation	"先端が腐りかけているバール

長い鈍器のパーツになる"	"錆びてくたびれたバール

長い鈍器のパーツになる"	26	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_long_blunt_addon_00;name	折れた包丁	包丁の塊	5	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_long_blunt_addon_00;explanation	"包丁の残骸

長い鈍器のパーツになる"	"包丁の残骸を集めたもの

長い鈍器のパーツになる"	24	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_long_blunt_addon_01;name	壊れたハサミ	ハサミの塊	6	2025-04-09
item.lxtxt	127	crw_customize_arms_parts_long_blunt_addon_01;explanation	"ハサミの残骸

長い鈍器のパーツになる"	"ハサミの残骸を集めたもの

長い鈍器のパーツになる"	25	2025-04-09
item.lxtxt	162	crw_customize_arms_parts_short_blade_grip_00;explanation	"革製の柄

短い刃物のパーツになる"	革製の柄	17	2025-04-11
item.lxtxt	162	crw_customize_arms_parts_short_blade_grip_01;explanation	"ボロ切れを巻いた柄

短い刃物のパーツになる"	ボロ切れを巻いた柄	22	2025-04-11
item.lxtxt	162	crw_customize_arms_parts_short_blade_blade_00;explanation	"柄のないナイフ

短い刃物のパーツになる"	柄のないナイフ	20	2025-04-11
item.lxtxt	162	crw_customize_arms_parts_short_blade_blade_01;explanation	"柄のない包丁

短い刃物のパーツになる"	柄のない包丁	19	2025-04-11
item.lxtxt	162	crw_customize_arms_parts_short_blade_blade_02;explanation	"柄のない鉈

短い刃物のパーツになる"	柄のない鉈	18	2025-04-11
item.lxtxt	162	crw_customize_arms_parts_long_blunt_grip_00;explanation	"錆びてくたびれたバール

長い鈍器のパーツになる"	錆びてくたびれたバール	24	2025-04-11
item.lxtxt	162	crw_customize_arms_parts_long_blunt_grip_01;explanation	"折れた持ち手を補強したバール

長い鈍器のパーツになる"	折れた持ち手を補強したバール	27	2025-04-11
item.lxtxt	162	crw_customize_arms_parts_long_blunt_addon_00;explanation	"包丁の残骸を集めたもの

長い鈍器のパーツになる"	包丁の残骸を集めたもの	24	2025-04-11
item.lxtxt	162	crw_customize_arms_parts_long_blunt_addon_01;explanation	"ハサミの残骸を集めたもの

長い鈍器のパーツになる"	ハサミの残骸を集めたもの	25	2025-04-11
talk\text\crw_shop.lxtxt	49	shop_minami_yami_001;talk_text	……5万だ	……1万だ	5	2025-03-30
talk\text\crw_shop.lxtxt	49	shop_minami_yami_002;talk_text	……冷やかしなら　とっとと消えろ	……5万だ	16	2025-03-30
talk\text\crw_shop.lxtxt	49	shop_minami_yami_003;talk_text	……その荷物じゃ　持てねえだろ	……10万だ	15	2025-03-30
